instructorId,subjectId,preferenceType,reason,createdAt,updatedAt
2025-100009,24,Avoid,No quantitative methods skills.,2025-07-23,2025-07-23
2025-100009,27,Prefer,Multimedia systems.,2025-07-23,2025-07-23
2025-100009,31,Avoid,No network scaling experience.,2025-07-23,2025-07-23
2025-100009,35,Avoid,No capstone experience.,2025-07-23,2025-07-23
2025-100009,38,Prefer,Practicum supervision.,2025-07-23,2025-07-23
2025-100009,39,Prefer,Capstone project support.,2025-07-23,2025-07-23
2025-100010,3,Prefer,General education electives.,2025-07-23,2025-07-23
2025-100010,6,Prefer,Programming fundamentals.,2025-07-23,2025-07-23
2025-100010,11,Avoid,No web system expertise.,2025-07-23,2025-07-23
2025-100010,18,Prefer,Database systems.,2025-07-23,2025-07-23
2025-100010,22,Avoid,Unfamiliar with web technologies.,2025-07-23,2025-07-23
2025-100010,24,Prefer,Quantitative methods.,2025-07-23,2025-07-23
2025-100010,27,Avoid,No multimedia skills.,2025-07-23,2025-07-23
2025-100010,29,Prefer,Information assurance basics.,2025-07-23,2025-07-23
2025-100010,31,Avoid,No network experience.,2025-07-23,2025-07-23
2025-100010,35,Avoid,No capstone project mentoring.,2025-07-23,2025-07-23
2025-100011,1,Prefer,Strong foundation in introductory computing.,2025-07-23,2025-07-23
2025-100011,4,Prefer,Background in HCI and usability.,2025-07-23,2025-07-23
2025-100011,9,Avoid,Limited OOP teaching experience.,2025-07-23,2025-07-23
2025-100011,13,Prefer,Information management expertise.,2025-07-23,2025-07-23
2025-100011,18,Avoid,Not focused on advanced databases.,2025-07-23,2025-07-23
2025-100011,24,Prefer,Good grasp of quantitative methods.,2025-07-23,2025-07-23
2025-100011,26,Avoid,Not specialized in software engineering.,2025-07-23,2025-07-23
2025-100011,33,Avoid,No systems integration experience.,2025-07-23,2025-07-23
2025-100011,39,Prefer,Experienced in practicum oversight.,2025-07-23,2025-07-23
2025-100011,27,Avoid,Limited multimedia exposure.,2025-07-23,2025-07-23
2025-100012,2,Prefer,Expertise in programming fundamentals.,2025-07-23,2025-07-23
2025-100012,6,Prefer,Advanced programming concepts.,2025-07-23,2025-07-23
2025-100012,9,Prefer,OOP teaching background.,2025-07-23,2025-07-23
2025-100012,13,Avoid,Not focused on information management.,2025-07-23,2025-07-23
2025-100012,16,Prefer,Routing and switching skills.,2025-07-23,2025-07-23
2025-100012,19,Prefer,Systems analysis experience.,2025-07-23,2025-07-23
2025-100012,24,Avoid,Limited quantitative methods.,2025-07-23,2025-07-23
2025-100012,27,Avoid,No multimedia background.,2025-07-23,2025-07-23
2025-100012,31,Prefer,Experience with network connectivity.,2025-07-23,2025-07-23
2025-100012,34,Avoid,No information assurance expertise.,2025-07-23,2025-07-23
2025-100013,4,Prefer,HCI and interface design skills.,2025-07-23,2025-07-23
2025-100013,5,Prefer,Discrete mathematics background.,2025-07-23,2025-07-23
2025-100013,9,Prefer,Proficient in OOP.,2025-07-23,2025-07-23
2025-100013,11,Avoid,Limited web systems experience.,2025-07-23,2025-07-23
2025-100013,18,Prefer,Database systems expertise.,2025-07-23,2025-07-23
2025-100013,22,Avoid,Not specialized in advanced web technologies.,2025-07-23,2025-07-23
2025-100013,27,Prefer,Multimedia creation background.,2025-07-23,2025-07-23
2025-100013,33,Avoid,No systems integration knowledge.,2025-07-23,2025-07-23
2025-100013,39,Prefer,Capstone mentoring experience.,2025-07-23,2025-07-23
2025-100013,20,Avoid,No data mining experience.,2025-07-23,2025-07-23
2025-100014,1,Avoid,Not focused on introductory computing.,2025-07-23,2025-07-23
2025-100014,3,Prefer,General education electives teaching.,2025-07-23,2025-07-23
2025-100014,7,Prefer,General education course experience.,2025-07-23,2025-07-23
2025-100014,10,Avoid,Not skilled in platform technologies.,2025-07-23,2025-07-23
2025-100014,14,Prefer,Quantitative methods expertise.,2025-07-23,2025-07-23
2025-100014,17,Prefer,General education background.,2025-07-23,2025-07-23
2025-100014,21,Avoid,Limited systems integration exposure.,2025-07-23,2025-07-23
2025-100014,26,Avoid,No interest in software engineering.,2025-07-23,2025-07-23
2025-100014,12,Avoid,Networking not a focus.,2025-07-23,2025-07-23
2025-100014,9,Avoid,Limited programming knowledge.,2025-07-23,2025-07-23
2025-100015,2,Prefer,Programming fundamentals background.,2025-07-23,2025-07-23
2025-100015,9,Prefer,Strong OOP skills.,2025-07-23,2025-07-23
2025-100015,18,Prefer,Database systems expertise.,2025-07-23,2025-07-23
2025-100015,20,Avoid,Limited data mining exposure.,2025-07-23,2025-07-23
2025-100015,22,Prefer,Hands-on web systems teaching.,2025-07-23,2025-07-23
2025-100015,27,Avoid,No multimedia focus.,2025-07-23,2025-07-23
2025-100015,29,Prefer,Information assurance knowledge.,2025-07-23,2025-07-23
2025-100015,31,Avoid,Not experienced with large network scaling.,2025-07-23,2025-07-23
2025-100015,35,Prefer,Capstone supervision experience.,2025-07-23,2025-07-23
2025-100015,39,Prefer,Capstone and practicum mentoring.,2025-07-23,2025-07-23
2025-100016,3,Prefer,General education teaching.,2025-07-23,2025-07-23
2025-100016,6,Prefer,Programming experience.,2025-07-23,2025-07-23
2025-100016,11,Avoid,No web systems specialization.,2025-07-23,2025-07-23
2025-100016,14,Prefer,Strong quantitative skills.,2025-07-23,2025-07-23
2025-100016,18,Prefer,Database systems knowledge.,2025-07-23,2025-07-23
2025-100016,22,Avoid,Not focused on web tech.,2025-07-23,2025-07-23
2025-100016,27,Avoid,No multimedia background.,2025-07-23,2025-07-23
2025-100016,29,Prefer,Information assurance basics.,2025-07-23,2025-07-23
2025-100016,31,Avoid,Limited networking exposure.,2025-07-23,2025-07-23
2025-100016,35,Avoid,No capstone project experience.,2025-07-23,2025-07-23
2025-100017,4,Prefer,HCI and UX expertise.,2025-07-23,2025-07-23
2025-100017,9,Prefer,OOP programming.,2025-07-23,2025-07-23
2025-100017,18,Prefer,Advanced database knowledge.,2025-07-23,2025-07-23
2025-100017,22,Avoid,Not specialized in modern web technologies.,2025-07-23,2025-07-23
2025-100017,27,Prefer,Multimedia content creation.,2025-07-23,2025-07-23
2025-100017,31,Avoid,No networking experience.,2025-07-23,2025-07-23
2025-100017,34,Prefer,Information assurance skills.,2025-07-23,2025-07-23
2025-100017,20,Avoid,No data mining exposure.,2025-07-23,2025-07-23
2025-100017,35,Prefer,Capstone mentorship.,2025-07-23,2025-07-23
2025-100017,39,Prefer,Practicum guidance.,2025-07-23,2025-07-23
2025-100018,2,Prefer,Programming foundations.,2025-07-23,2025-07-23
2025-100018,6,Prefer,Intermediate programming.,2025-07-23,2025-07-23
2025-100018,11,Prefer,Web systems and tech basics.,2025-07-23,2025-07-23
2025-100018,16,Prefer,Networking essentials.,2025-07-23,2025-07-23
2025-100018,20,Avoid,No data mining focus.,2025-07-23,2025-07-23
2025-100018,24,Prefer,Quantitative methods skills.,2025-07-23,2025-07-23
2025-100018,27,Avoid,Limited multimedia knowledge.,2025-07-23,2025-07-23
2025-100018,29,Prefer,Basic info assurance skills.,2025-07-23,2025-07-23
2025-100018,31,Avoid,Not experienced in network scaling.,2025-07-23,2025-07-23
2025-100018,35,Avoid,No capstone supervision.,2025-07-23,2025-07-23
2025-100019,4,Prefer,HCI and interaction design.,2025-07-23,2025-07-23
2025-100019,9,Prefer,OOP and design patterns.,2025-07-23,2025-07-23
2025-100019,13,Prefer,Information management systems.,2025-07-23,2025-07-23
2025-100019,18,Prefer,Advanced database skills.,2025-07-23,2025-07-23
2025-100019,20,Avoid,No background in data mining.,2025-07-23,2025-07-23
2025-100019,22,Avoid,Not specialized in web systems.,2025-07-23,2025-07-23
2025-100019,27,Prefer,Multimedia systems teaching.,2025-07-23,2025-07-23
2025-100019,33,Avoid,No systems integration experience.,2025-07-23,2025-07-23
2025-100019,35,Prefer,Capstone project mentoring.,2025-07-23,2025-07-23
2025-100019,39,Prefer,Practicum supervision.,2025-07-23,2025-07-23
2025-100020,2,Prefer,Programming basics.,2025-07-23,2025-07-23
2025-100020,9,Prefer,OOP skills.,2025-07-23,2025-07-23
2025-100020,13,Prefer,Information management.,2025-07-23,2025-07-23
2025-100020,18,Prefer,Database knowledge.,2025-07-23,2025-07-23
2025-100020,20,Avoid,No experience in data mining.,2025-07-23,2025-07-23
2025-100020,22,Avoid,Not specialized in web tech.,2025-07-23,2025-07-23
2025-100020,27,Avoid,No multimedia exposure.,2025-07-23,2025-07-23
2025-100020,29,Prefer,Information assurance background.,2025-07-23,2025-07-23
2025-100020,31,Avoid,No networking expertise.,2025-07-23,2025-07-23
2025-100020,35,Prefer,Capstone mentoring.,2025-07-23,2025-07-23
